x,y,theta,speed
-0.854,-2.637,-1.5707963267948966,1.5
-0.8631836734693877,-2.637,-1.5707963267948966,1.5
-0.8723673469387755,-2.637,-1.5707963267948966,1.5
-0.8815510204081632,-2.637,-1.5707963267948966,1.5
-0.890734693877551,-2.637,-1.5707963267948966,1.5
-0.8999183673469388,-2.637,-1.5707963267948966,1.5
-0.9091020408163265,-2.637,-1.5707963267948966,1.5
-0.9182857142857143,-2.637,-1.5707963267948966,1.5
-0.927469387755102,-2.637,-1.5707963267948966,1.5
-0.9366530612244898,-2.637,-1.5707963267948966,1.5
-0.9458367346938775,-2.637,-1.5707963267948966,1.5
-0.9550204081632653,-2.637,-1.5707963267948966,1.5
-0.964204081632653,-2.637,-1.5707963267948966,1.5
-0.9733877551020408,-2.637,-1.5707963267948966,1.5
-0.9825714285714285,-2.637,-1.5707963267948966,1.5
-0.9917551020408163,-2.637,-1.5707963267948966,1.5
-1.0009387755102042,-2.637,-1.5707963267948966,1.5
-1.010122448979592,-2.637,-1.5707963267948966,1.5
-1.0193061224489797,-2.637,-1.5707963267948966,1.5
-1.0284897959183674,-2.637,-1.5707963267948966,1.5
-1.0376734693877552,-2.637,-1.5707963267948966,1.5
-1.046857142857143,-2.637,-1.5707963267948966,1.5
-1.0560408163265307,-2.637,-1.5707963267948966,1.5
-1.0652244897959184,-2.637,-1.5707963267948966,1.5
-1.0744081632653062,-2.637,-1.5707963267948966,1.5
-1.083591836734694,-2.637,-1.5707963267948966,1.5
-1.0927755102040817,-2.637,-1.5707963267948966,1.5
-1.1019591836734695,-2.637,-1.5707963267948966,1.5
-1.1111428571428572,-2.637,-1.5707963267948966,1.5
-1.120326530612245,-2.637,-1.5707963267948966,1.500022305671386
-1.1295102040816327,-2.637,-1.5707963267948966,1.5000991665298482
-1.1386938775510205,-2.637,-1.5707963267948966,1.5003415984678545
-1.1478775510204082,-2.637,-1.5707963267948966,1.5010289170203057
-1.157061224489796,-2.637,-1.5707963267948966,1.5027714349552523
-1.1662448979591837,-2.637,-1.5707963267948966,1.5067136662338698
-1.1754285714285715,-2.637,-1.5707963267948966,1.5146598601520944
-1.1846122448979592,-2.637,-1.5707963267948966,1.5289017624574033
